time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      41,        5,        1,
      42,        1,        1,
      42,        2,        1,
      42,        3,       10,
      42,        4,        2,
      42,        5,        1,
      43,        1,        1,
      43,        2,        1,
      43,        3,        7,
      43,        4,        2,
      44,        1,        1,
      44,        2,        1,
      44,        3,       10,
      44,        4,        2,
      44,        5,        1,
      45,        1,        1,
      45,        2,        1,
      45,        3,       10,
      45,        4,        2,
      45,        5,        1,
      46,        1,        1,
      46,        2,        1,
      46,        3,        7,
      46,        4,        2,
      47,        1,        1,
      47,        2,        1,
      47,        3,        7,
      47,        4,        1,
      48,        1,        1,
      48,        2,        1,
      48,        3,       10,
      48,        4,        1,
      48,        5,        1,
      49,        1,        1,
      49,        2,        1,
      49,        3,       10,
      49,        4,        2,
      49,        5,        1,
      50,        1,        1,
      50,        2,        1,
      50,        3,        7,
      50,        4,        1,
      51,        1,        1,
      51,        2,        1,
      51,        3,       10,
      51,        4,        2,
      51,        5,        1,
      52,        1,        1,
      52,        2,        1,
      52,        3,        7,
      52,        4,        1,
      53,        1,        1,
      53,        2,        1,
      53,        3,       10,
      53,        4,        2,
      53,        5,        1,
      54,        1,        1,
      54,        2,        1,
      54,        3,       10,
      54,        4,        2,
      54,        5,        1,
      55,        1,        1,
      55,        2,        1,
      55,        3,       10,
      55,        4,        2,
      55,        5,        1,
      56,        1,        1,
      56,        2,        1,
      56,        3,        6,
      56,        4,        1,
      56,        5,        1,
      57,        1,        1,
      57,        2,        1,
      57,        3,        7,
      57,        4,        1,
      57,        5,        1,
      58,        1,        1,
      58,        2,        1,
      58,        3,       10,
      58,        4,        2,
      58,        5,        2,
      59,        1,        1,
      59,        2,        1,
      59,        3,        7,
      59,        4,        1,
      60,        1,        1,
      60,        2,        1,
      60,        3,       10,
      60,        4,        2,
      60,        5,        1,
      61,        1,        1,
      61,        2,        1,
      61,        3,        7,
      61,        4,        1,
      62,        1,        1,
      62,        2,        1,
      62,        3,        7,
      62,        4,        1,
      63,        1,        1,
      63,        2,        1,
      63,        3,        7,
      63,        4,        1,
      64,        1,        1,
      64,        2,        1,
      64,        3,       10,
      64,        4,        2,
      64,        5,        1,
      65,        1,        1,
      65,        2,        1,
      65,        3,        7,
      65,        4,        1,
      65,        5,        1,
      66,        1,        1,
      66,        2,        1,
      66,        3,        7,
      66,        4,        1,
      67,        1,        1,
      67,        2,        1,
      67,        3,        8,
      67,        4,        1,
      68,        1,        1,
      68,        2,        1,
      68,        3,        8,
      68,        4,        2,
      69,        1,        1,
      69,        2,        1,
      69,        3,        8,
      69,        4,        1,
      70,        1,        1,
