time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      26,       11,        1,
      26,       12,        1,
      26,       13,        1,
      26,       14,        1,
      26,       15,        1,
      26,       16,        1,
      26,       17,        1,
      26,       18,        1,
      26,       19,        1,
      26,       20,        1,
      26,       21,        1,
      26,       22,        1,
      26,       23,        1,
      26,       24,        1,
      26,       25,        1,
      26,       26,        1,
      26,       27,        1,
      26,       28,        1,
      26,       29,        1,
      26,       30,        1,
      27,        1,        1,
      27,        2,        1,
      27,        3,        1,
      27,        4,        1,
      27,        5,        1,
      27,        6,        1,
      27,        7,        1,
      27,        8,        1,
      27,        9,        1,
      27,       10,        1,
      27,       11,        1,
      27,       12,        1,
      27,       13,        1,
      27,       14,        1,
      27,       15,        1,
      27,       16,        1,
      27,       17,        1,
      27,       18,        1,
      27,       19,        1,
      27,       20,        1,
      27,       21,        1,
      27,       22,        1,
      27,       23,        1,
      27,       24,        1,
      27,       25,        1,
      27,       26,        1,
      27,       27,        1,
      27,       28,        1,
      27,       29,        1,
      27,       30,        1,
      28,        1,        1,
      28,        2,        1,
      28,        3,        2,
      28,        4,        1,
      29,        1,        1,
      29,        2,        1,
      29,        3,        1,
      29,        4,        1,
      29,        5,        1,
      29,        6,        1,
      29,        7,        1,
      29,        8,        1,
      29,        9,        1,
      29,       10,        3,
      30,        1,        1,
      30,        2,        1,
      30,        3,        1,
      30,        4,        1,
      30,        5,        1,
      30,        6,        1,
      30,        7,        1,
      30,        8,        1,
      30,        9,        1,
      30,       10,        1,
      30,       11,        1,
      30,       12,        1,
      30,       13,        1,
      30,       14,        1,
      30,       15,        1,
      30,       16,        1,
      30,       17,        1,
      30,       18,        1,
      30,       19,        1,
      30,       20,        1,
      30,       21,        1,
      30,       22,        1,
      30,       23,        1,
      30,       24,        1,
      30,       25,        1,
      30,       26,        1,
      30,       27,        1,
      30,       28,        1,
      30,       29,        1,
      30,       30,        1,
      31,        1,        1,
      31,        2,        1,
      31,        3,        3,
      32,        1,        1,
      32,        2,        1,
      32,        3,        1,
      32,        4,        1,
      32,        5,        1,
      32,        6,        1,
      32,        7,        1,
      32,        8,        1,
      32,        9,        1,
      32,       10,        1,
      32,       11,        1,
      32,       12,        1,
      32,       13,        1,
      32,       14,        1,
      32,       15,        1,
      32,       16,        1,
      32,       17,        1,
      32,       18,        1,
      32,       19,        1,
      32,       20,        1,
      32,       21,        1,
      32,       22,        1,
      32,       23,        1,
      32,       24,        1,
      32,       25,        1,
      32,       26,        1,
      32,       27,        1,
      32,       28,        1,
      32,       29,        1,
      32,       30,        1,
      33,        1,        1,
      33,        2,        1,
      33,        3,        3,
      33,        4,        1,
      34,        1,        1,
      34,        2,        1,
      34,        3,        2,
      34,        4,        1,
      34,        5,        1,
      34,        6,        1,
      34,        7,        1,
      34,        8,        1,
      34,        9,        2,
      34,       10,        1,
      35,        1,        1,
      35,        2,        1,
      35,        3,        1,
      35,        4,        1,
      35,        5,        1,
      35,        6,        1,
      35,        7,        1,
      35,        8,        1,
      35,        9,        1,
      35,       10,        1,
      35,       11,        1,
      35,       12,        1,
      35,       13,        1,
      35,       14,        1,
      35,       15,        1,
      35,       16,        1,
      35,       17,        1,
      35,       18,        1,
      35,       19,        1,
      35,       20,        1,
      35,       21,        1,
      35,       22,        1,
      35,       23,        1,
      35,       24,        3,
      36,        1,        1,
      36,        2,        1,
      36,        3,        1,
      36,        4,        1,
      36,        5,        1,
      36,        6,        3,
      37,        1,        1,
      37,        2,        1,
      37,        3,        2,
      37,        4,        1,
      38,        1,        1,
      38,        2,        1,
      38,        3,        2,
      38,        4,        2,
      39,        1,        1,
      39,        2,        1,
      39,        3,        1,
      39,        4,        1,
      39,        5,        1,
      39,        6,        1,
      39,        7,        1,
      39,        8,        4,
      40,        1,        1,
      40,        2,        1,
      40,        3,        1,
      40,        4,        1,
      40,        5,        1,
      40,        6,        1,
      40,        7,        1,
      40,        8,        1,
      40,        9,        1,
      40,       10,        1,
      40,       11,        1,
      40,       12,        1,
      40,       13,        3,
      41,        1,        1,
      41,        2,        1,
      41,        3,        1,
      41,        4,        3,
      42,        1,        1,
      42,        2,        1,
      42,        3,        1,
      42,        4,        1,
      42,        5,        1,
      42,        6,        4,
      43,        1,        1,
      43,        2,        1,
      43,        3,        1,
      43,        4,        1,
      43,        5,        1,
      43,        6,        1,
      43,        7,        4,
      44,        1,        1,
      44,        2,        1,
      44,        3,        1,
      44,        4,        1,
      44,        5,        1,
      44,        6,        1,
      44,        7,        1,
      44,        8,        1,
      44,        9,        3,
      45,        1,        1,
      45,        2,        1,
      45,        3,        1,
      45,        4,        1,
      45,        5,        3,
      46,        1,        1,
      46,        2,        1,
      46,        3,        1,
      46,        4,        1,
      46,        5,        3,
      47,        1,        1,
      47,        2,        1,
      47,        3,        4,
      48,        1,        1,
      48,        2,        1,
      48,        3,        1,
      48,        4,        1,
      48,        5,        1,
      48,        6,        1,
      48,        7,        1,
      48,        8,        1,
      48,        9,        1,
      48,       10,        1,
      48,       11,        1,
      48,       12,        1,
      48,       13,        1,
      48,       14,        1,
      48,       15,        1,
      48,       16,        2,
      48,       17,        2,
      49,        1,        1,
      49,        2,        1,
      49,        3,        1,
      49,        4,        1,
      49,        5,        3,
      50,        1,        1,
      50,        2,        1,
      50,        3,        4,
      51,        1,        1,
      51,        2,        1,
      51,        3,        4,
      52,        1,        1,
      52,        2,        1,
      52,        3,        2,
      52,        4,        1,
      52,        5,        1,
      52,        6,        1,
      52,        7,        4,
      53,        1,        1,
      53,        2,        1,
      53,        3,        3,
      54,        1,        1,
      54,        2,        1,
      54,        3,       10,
      55,        1,        1,
      55,        2,        1,
      55,        3,       10,
      56,        1,        1,
      56,        2,        1,
      56,        3,       10,
      57,        1,        1,
      57,        2,        1,
      57,        3,       10,
      57,        4,        1,
      58,        1,        1,
      58,        2,        1,
      58,        3,       10,
      59,        1,        1,
      59,        2,        1,
      59,        3,        9,
      60,        1,        1,
      60,        2,        1,
      60,        3,       10,
      61,        1,        1,
      61,        2,        1,
      61,        3,        7,
      62,        1,        1,
      62,        2,        1,
      62,        3,        1,
      62,        4,        6,
      63,        1,        1,
      63,        2,        1,
      63,        3,        1,
      63,        4,        7,
      64,        1,        1,
      64,        2,        1,
      64,        3,        1,
      64,        4,        1,
      64,        5,        7,
      65,        1,        1,
      65,        2,        1,
      65,        3,        1,
      65,        4,        1,
      65,        5,        5,
      66,        1,        1,
      66,        2,        1,
      66,        3,        1,
      66,        4,        4,
      67,        1,        1,
      67,        2,        1,
      67,        3,        1,
      67,        4,        1,
      67,        5,        1,
      67,        6,        1,
      67,        7,        1,
      67,        8,        1,
      67,        9,        4,
      68,        1,        1,
      68,        2,        1,
      68,        3,        1,
      68,        4,        1,
      68,        5,        1,
      68,        6,        1,
      68,        7,        1,
      68,        8,        1,
      68,        9,        1,
      68,       10,        4,
      69,        1,        1,
      69,        2,        1,
      69,        3,        1,
      69,        4,        1,
      69,        5,        1,
      69,        6,        1,
      69,        7,        1,
      69,        8,        1,
      69,        9,        2,
      69,       10,        1,
      70,        1,        1,
      70,        2,        1,
      70,        3,        1,
      70,        4,        4,
      71,        1,        1,
      71,        2,        1,
      71,        3,        1,
      71,        4,        1,
      71,        5,        1,
      71,        6,        1,
      71,        7,        1,
      71,        8,        1,
      71,        9,        1,
      71,       10,        1,
      71,       11,        1,
      71,       12,        1,
      71,       13,        1,
      71,       14,        1,
      71,       15,        1,
      71,       16,        3,
      72,        1,        1,
      72,        2,        1,
      72,        3,        1,
      72,        4,        1,
      72,        5,        1,
      72,        6,        1,
      72,        7,        4,
      73,        1,        1,
      73,        2,        1,
      73,        3,        1,
      73,        4,        1,
      73,        5,        1,
      73,        6,        4,
      74,        1,        1,
      74,        2,        1,
      74,        3,        1,
      74,        4,        1,
      74,        5,        1,
      74,        6,        1,
      74,        7,        1,
      74,        8,        1,
      74,        9,        1,
      74,       10,        1,
      74,       11,        1,
      74,       12,        1,
      74,       13,        1,
      74,       14,        1,
      74,       15,        1,
      74,       16,        1,
      74,       17,        1,
      74,       18,        1,
      74,       19,        1,
      74,       20,        1,
      74,       21,        1,
      74,       22,        1,
      74,       23,        1,
      74,       24,        1,
      74,       25,        1,
      74,       26,        1,
      74,       27,        1,
      74,       28,        1,
      74,       29,        1,
      74,       30,        1,
      75,        1,        1,
      75,        2,        1,
      75,        3,        1,
      75,        4,        1,
      75,        5,        1,
      75,        6,        1,
      75,        7,        1,
      75,        8,        1,
      75,        9,        1,
      75,       10,        1,
      75,       11,        1,
      75,       12,        1,
      75,       13,        1,
      75,       14,        1,
      75,       15,        1,
      75,       16,        1,
      75,       17,        1,
      75,       18,        1,
      75,       19,        1,
      75,       20,        1,
      75,       21,        1,
      75,       22,        1,
      75,       23,        1,
      76,        1,        1,
      76,        2,        1,
      76,        3,        1,
      76,        4,        1,
      76,        5,        1,
      76,        6,        1,
      76,        7,        1,
      76,        8,        1,
      76,        9,        1,
      76,       10,        1,
      76,       11,        1,
      76,       12,        1,
      76,       13,        1,
      76,       14,        1,
      76,       15,        1,
      76,       16,        1,
      76,       17,        1,
      76,       18,        1,
      76,       19,        1,
      76,       20,        1,
      76,       21,        1,
      76,       22,        1,
      76,       23,        1,
      76,       24,        1,
      76,       25,        1,
      76,       26,        1,
      76,       27,        1,
      76,       28,        1,
