time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
      47,        1,        1,
      47,        2,        1,
      47,        3,       10,
      48,        1,        1,
      48,        2,        1,
      48,        3,       10,
      49,        1,        1,
      49,        2,        1,
      49,        3,       10,
      50,        1,        1,
      50,        2,        1,
      50,        3,       10,
      51,        1,        1,
      51,        2,        1,
      51,        3,       10,
      52,        1,        1,
      52,        2,        1,
      52,        3,       10,
      53,        1,        1,
      53,        2,        1,
      53,        3,       10,
      53,        4,       10,
      54,        1,        1,
      54,        2,        1,
      54,        3,       10,
      55,        1,        1,
      55,        2,        1,
      55,        3,       10,
      56,        1,        1,
      56,        2,        1,
      56,        3,       10,
      57,        1,        1,
      57,        2,        1,
      57,        3,       10,
      58,        1,        1,
      58,        2,        1,
      58,        3,       10,
      59,        1,        1,
      59,        2,        1,
      59,        3,       10,
      60,        1,        1,
      60,        2,        1,
      60,        3,       10,
      61,        1,        1,
      61,        2,        1,
      61,        3,       10,
      62,        1,        1,
      62,        2,        1,
      62,        3,       10,
      63,        1,        1,
      63,        2,        1,
      63,        3,       10,
      64,        1,        1,
      64,        2,        1,
      64,        3,       10,
      64,        4,       10,
      64,        5,       10,
      64,        6,       10,
      64,        7,       10,
      64,        8,       10,
      64,        9,       10,
      65,        1,        1,
      65,        2,        1,
      65,        3,       10,
      65,        4,       10,
      66,        1,        1,
      66,        2,        1,
      66,        3,       10,
      66,        4,       10,
      66,        5,       10,
      66,        6,       10,
      67,        1,        1,
      67,        2,        1,
      67,        3,       10,
      67,        4,       10,
      68,        1,        1,
      68,        2,        1,
      68,        3,       10,
      68,        4,       10,
      68,        5,       10,
      68,        6,       10,
      69,        1,        1,
      69,        2,        1,
      69,        3,       10,
      69,        4,       10,
      70,        1,        1,
      70,        2,        1,
      70,        3,       10,
      70,        4,       10,
      71,        1,        1,
      71,        2,        1,
      71,        3,       10,
      72,        1,        1,
      72,        2,        1,
      72,        3,       10,
      73,        1,        1,
      73,        2,        1,
      73,        3,       10,
      74,        1,        1,
      74,        2,        1,
      74,        3,       10,
      75,        1,        1,
      75,        2,        1,
      75,        3,       10,
      76,        1,        1,
      76,        2,        1,
      76,        3,       10,
      76,        4,       10,
      76,        5,       10,
      77,        1,        1,
      77,        2,        1,
      77,        3,       10,
      78,        1,        1,
